question,Answer / DB,Answer / EH,Answer / MC,Interpersonal Agreement,Majority Vote,Correct Answer,Answer / DoX,Answer / ChatGPT 3.5,Answer / ChatGPT 4
Are there instructions for users on how to use the AI system?,No,"Y, provided digitally",Yes,N,"Y, partially","Yes, but there’s only a reference to the fact that the instructions and API documentation are provided digitally.","Yes, there are instructions for users on how to use the AI system. The instructions for the use and installation of the Credit Approval AI Model are provided digitally. The system is hosted on the cloud and accessed via APIs, reducing the need for complex installations. Detailed API documentation is provided, outlining how to send requests to the system and interpret the responses. Regular training and support are provided to ensure users can effectively utilize the system in their credit approval processes (paragraph 0). The system also allows for customization and manual intervention. Through a cloud-based dashboard, financial institutions can set custom policies that guide how much weight is given to the AI's recommendations. Institutions can configure user permissions to allow certain levels of staff to override the AI's recommendations. All overrides are logged securely in the cloud for auditing purposes. The platform also allows loan officers to flag applications for manual review directly within the user interface (paragraph 19).",Y,Y
Are there any requirements related to version updates?,Yes,Y,Yes,Y,Y,Y,"Yes, there are requirements related to version updates. Updates to the software components should be applied as they become available to ensure optimal performance and security (paragraph 2). Each update goes through a rigorous validation and testing process before it is deployed to ensure that it improves the system's performance and does not introduce new risks or biases (paragraph 3). These updates could involve adjusting the AI model's parameters, incorporating new features or data sources, or upgrading the AI algorithms (paragraph 5). All updates are logged and documented to maintain a transparent record of the system's evolution and improvements (paragraph 6). In case of critical issues or system failures, rollback procedures are in place to revert the system to its last stable version (paragraph 10).",Y,N
Are the versions of relevant software or firmware listed?,Yes,Y,Yes,Y,Y,Y,"Yes, the versions of relevant software or firmware are listed. The AI system uses Python 3.6 or higher, XGBoost 1.3.3, aix360 0.2.1, and aif360 0.4.0 (paragraph 1 and 3). It also utilizes CUDA 10.0 and cuDNN 7.6.5 or later (paragraph 0 and 1). The system relies on Nvidia's DGX System for firmware (paragraph 1 and 6). The current version of the system is 1.2.0 (paragraph 4).",Y,Y
Are the persons or teams responsible for developing the AI system clearly identified?,No,Y,Yes,N,"Y, partially","Y, but there is a general description of the team, but no detail information, no individual contact person.","Yes, the persons or teams responsible for developing the AI system are clearly identified. The AI system is developed by a dedicated team of data scientists and AI experts (paragraph 0 and 3).",Y,Y
"Are the measures for human oversight identified and built into the high-risk AI system by the provider, or are they identified as appropriate to be implemented by the user?","Yes, built in",Y,"Yes, built in",Y,Y,Y,"Yes, the measures for human oversight are identified and built into the high-risk AI system by the provider. The AI system is designed with built-in human oversight to ensure the correctness of the outputs (Paragraph 0, 4, 5, 12). The provider has implemented several mechanisms for human oversight, including a Human-in-the-Loop (HITL) mechanism, audit trails, periodic model review, user feedback loop, and an emergency off-switch (Paragraph 1). The provider also encourages users to provide feedback on the system's decisions, its usability, and its impact on their credit approval process (Paragraph 16).",Y,Y
"Are the design specifications, including the general logic and algorithms, clearly outlined?",Yes,Y,Yes,Y,Y,Y,"Yes, the design specifications, including the general logic and algorithms, are clearly outlined. The AI system is implemented using Python and makes use of several open-source libraries, including XGBoost for model training, and AI Fairness 360 (aif360) toolkit for ensuring fairness and reducing bias (paragraph 6). It also uses explanatory models from the AI Explainability 360 (aix360) toolkit like BooleanRuleCG, LogisticRuleRegression, and Generalized Linear Rule Models (GLRM) for enhancing model explainability (paragraph 2, 7). The architecture of the AI system is modular, allowing each component to perform its role independently while also integrating seamlessly with the others. Key components include the data pre-processing and normalization module, the model training and evaluation module, and the explainability module (paragraph 15). The system also supports XAI algorithms for explaining credit approval decisions to loan officers and bank customers. The algorithms used include Protodash and CEM (paragraph 8). The AI system is designed with built-in human oversight to ensure the correctness of the outputs (paragraph 3, 19).",Y,Y
"Are the data requirements including datasheets, training methodologies, and data sets described?",Yes,Y,Yes,Y,Y,Y,"Yes, the data requirements including datasheets, training methodologies, and data sets are described. The AI system uses the FICO HELOC dataset, which includes anonymized customer data such as credit history, income levels, employment status, and other relevant financial details (paragraph 8, 18). All data used complies with GDPR and other data privacy regulations to ensure the protection of customer information. In addition, all data is thoroughly cleansed, normalized, and processed before being used to train the machine learning models (paragraph 8). After pre-processing, the data is split into three distinct sets: a training set, a validation set, and a testing set (paragraph 4). The model underwent an intensive 8-hour training period on 8x NVIDIA A100 GPUs to achieve optimal performance (paragraph 0). The system also supports XAI algorithms for explaining credit approval decisions to loan officers and bank customers. The algorithms used include Protodash and CEM (paragraph 2).",Y,Y
Are testing procedures suitable for the intended purpose?,Yes,Y,Yes,Y,Y,Y,"Yes, the testing procedures are suitable for the intended purpose. The high-risk AI system is rigorously tested to identify the most appropriate risk management measures and its performance is evaluated against defined metrics and probabilistic thresholds appropriate to its intended purpose. The testing procedures are designed to ensure that the AI system performs consistently and in compliance with the requirements set out in the documentation (paragraph 0). The system was also subjected to rigorous security testing procedures, including penetration testing, vulnerability scanning, and secure code reviews (paragraph 1). Furthermore, the system was tested under different scenarios, including stress tests and edge cases (paragraph 2). The testing procedure was based on well-defined metrics such as accuracy, precision, recall, F1-score, and area under the ROC curve (AUC-ROC) (paragraph 4). Testing is performed throughout the development process, prior to market placement, and continues after deployment to ensure continual compliance and performance (paragraph 5).",Y,N
"Are testing procedures performed at appropriate times, including before market placement?",Yes,Y,Yes,Y,Y,Y,"Yes, testing procedures are performed at appropriate times, including before market placement. Testing is performed throughout the development process, prior to market placement, and continues after deployment to ensure continual compliance and performance (paragraph 0). Each update goes through a rigorous validation and testing process before it is deployed to ensure that it improves the system's performance and does not introduce new risks or biases (paragraph 1). The system's performance is evaluated against defined metrics and probabilistic thresholds appropriate to its intended purpose (paragraph 4). The testing procedure was based on well-defined metrics such as accuracy, precision, recall, F1-score, and area under the ROC curve (AUC-ROC) (paragraph 5). It was subjected to rigorous security testing procedures, including penetration testing, vulnerability scanning, and secure code reviews (paragraph 6). To ensure robustness, the system was tested under different scenarios, including stress tests and edge cases (paragraph 7).",Y,N
Are technical measures for human oversight outlined?,Yes,Y,Yes,Y,Y,Y,"Yes, technical measures for human oversight are outlined. Article 14 of the EU AI Act specifies requirements for human oversight of AI systems, and the credit approval AI system has implemented several mechanisms for human oversight. These include a Human-in-the-Loop (HITL) mechanism where critical decisions made by the AI system are reviewed by a loan officer, audit trails where every decision made by the AI system is logged, periodic model reviews conducted by data scientists, a user feedback loop where customers are encouraged to provide feedback, and an emergency off-switch that can immediately halt the AI system's operations in case of malfunction or unexpected behavior (paragraph 0). The system also incorporates built-in human oversight to ensure that the outputs are correct (paragraph 2, 7, 10). Assessment of these human oversight measures is conducted on a bi-annual basis (paragraph 4).",Y,Y
Are suitable risk management measures adopted?,Yes,Y,Yes,Y,Y,Y,"Yes, suitable risk management measures are adopted. Upon identification and evaluation of risks, appropriate risk management measures are adopted, including the continuous review and update of the system design to eliminate or reduce risks (paragraph 0). Mitigation and control measures are implemented for risks that cannot be eliminated entirely, such as regular bias audits, data quality checks, and system performance evaluations (paragraph 1). The high-risk AI system is rigorously tested to identify the most appropriate risk management measures (paragraph 3, 6). In case of any bias detection, a thorough investigation is conducted to identify the root cause of the bias and implement appropriate mitigation measures (paragraph 4). The risk management system is developed and updated considering the technical knowledge, experience, education, and training expected from the user, the environment in which the system is intended to be used, and the potential impact on children (paragraph 5). The system's performance is evaluated against defined metrics and probabilistic thresholds appropriate to its intended purpose (paragraph 6). The company also complies with Directive 2013/36/EU as part of its risk management procedures (paragraph 7). The system's robustness and compliance with relevant regulations are ensured through rigorous testing and validation measures (paragraph 9). Data from a post-market monitoring system is gathered and analyzed to identify emerging risks, model drift, and unexpected system behavior (paragraph 10). An incident response plan is in place to handle incidents effectively and minimize their impact (paragraph 11, 13, 18). The company also adheres to several harmonised standards to meet the legal and technical requirements of various jurisdictions, including the European Union (paragraph 17).",Y,Y
Are specifications on input data provided?,Yes,Y,Yes,Y,Y,Y,"Yes, specifications on input data are provided. The AI system uses the FICO HELOC dataset, which includes anonymized customer data such as credit history, income levels, employment status, and other relevant financial details. All data used complies with GDPR and other data privacy regulations to ensure the protection of customer information. In addition, all data is thoroughly cleansed, normalized, and processed before being used to train the machine learning models (paragraph 4). The dataset consists of a diverse range of customers who have requested a credit line in the range of USD 5,000 - 150,000, which is typically offered by US banks as a percentage of home equity (paragraph 5). The AI system can process and learn from a wide range of data, but it is designed to avoid sensitive personal attributes (paragraph 6). After pre-processing, the data is split into three distinct sets: a training set, a validation set, and a testing set (paragraph 13). The HELOC dataset contains 24 predictor variables and one target variable called RiskPerformance (paragraph 17).",Y,Y
Are risks estimated and evaluated both for intended use and conditions of reasonably foreseeable misuse?,Yes,"Y, but not detailed",Yes,Y,"Y, partially",Y,"Yes, risks are estimated and evaluated both for intended use and conditions of reasonably foreseeable misuse. This is achieved through a comprehensive examination of the AI system's design, features, and decision-making processes, with special attention paid to potential misuse scenarios and their associated risks (paragraph 1). The system uses the FICO Home Equity Line of Credit (HELOC) dataset to model a diverse range of customer scenarios and test the system's responses. Potential risks such as discriminatory decisions, invasion of privacy, and miscommunication of credit approval decisions are evaluated and quantified (paragraph 2).",Y,N
Are residual risks communicated to the user?,Yes,Y,Yes,Y,Y,Y,"Yes, residual risks are communicated to users. This is done to ensure that users have a comprehensive understanding of the system's limitations and potential issues (Paragraph 0 and 1).",Y,N
Are mitigation and control measures implemented for risks that cannot be eliminated?,Yes,Y,Yes,Y,Y,Y,"Yes, mitigation and control measures are implemented for risks that cannot be eliminated. These measures include regular bias audits, data quality checks, and system performance evaluations. Additionally, adequate information about the system's operation and risks is provided to all stakeholders to ensure transparency (paragraph 0). Upon identification and evaluation of risks, appropriate risk management measures are adopted, and the system design is continuously reviewed and updated to eliminate or reduce risks (paragraph 4). If any bias is detected, a thorough investigation is conducted to identify the root cause of the bias and implement appropriate mitigation measures (paragraph 8). The system is also rigorously tested to identify the most appropriate risk management measures (paragraph 13, 19).",Y,N
Are metrics and probabilistic thresholds defined preliminarily?,Yes,No. Not mentioned,Yes,N,"Y, partially",Y,"Yes, metrics and probabilistic thresholds are defined preliminarily. The system's performance is evaluated against defined metrics and probabilistic thresholds appropriate to its intended purpose (paragraph 0). The AI system's performance metrics are compared against predefined thresholds and historical benchmarks to detect any anomalies or unexpected changes (paragraph 1). The testing procedure was based on well-defined metrics such as accuracy, precision, recall, F1-score, and area under the ROC curve (AUC-ROC) (paragraph 5).",Y,N
Are measures in place to ensure individuals remain aware of the possible tendency of automatically relying or over-relying on the output produced by the high-risk AI system?,Yes,Y. Mentioned but not detailed,Yes,Y,"Y, partially","Y, mentioned but not detailed","Yes, measures are in place to ensure individuals remain aware of the possible tendency of automatically relying or over-relying on the output produced by the high-risk AI system. The AI system is designed with built-in human oversight to ensure the correctness of the outputs (paragraph 0). The system identifies and analyzes known and foreseeable risks associated with its operation, including potential misuse scenarios and their associated risks (paragraph 1). The high-risk AI system is rigorously tested to identify the most appropriate risk management measures (paragraph 2).",Y,Y
Are known and foreseeable risks associated with the high-risk AI system identified and analyzed?,Yes,Y,Yes,Y,Y,Y,"Yes, known and foreseeable risks associated with the high-risk AI system are identified and analyzed. The system identifies and analyzes risks associated with its operation through a comprehensive examination of the AI system's design, the features it uses, and the decision-making processes it follows. Special attention is paid to potential misuse scenarios and their associated risks. Factors such as data quality, bias in the training data, overfitting, and potential misinterpretation of model explanations are taken into account during risk identification (paragraph 1). Risks emerging from the intended use of the AI system and under conditions of reasonably foreseeable misuse are estimated and evaluated (paragraph 0). The system also considers risks such as false positives and false negatives, data bias, over-reliance on the system's decisions without human oversight, and potential unintended outcomes if the system's decisions are interpreted without considering the context (paragraphs 2, 3, 6, 9). The system is rigorously tested to identify the most appropriate risk management measures (paragraph 8). Despite the rigorous monitoring and evaluation procedures, the system acknowledges that there might be instances where the AI system could encounter unforeseen issues or errors (paragraph 15).",Y,N
Are high-risk AI systems tested to identify the most appropriate risk management measures?,Yes,Y,Yes,Y,Y,Y,"Yes, high-risk AI systems are tested to identify the most appropriate risk management measures. The system's performance is evaluated against defined metrics and probabilistic thresholds appropriate to its intended purpose. Testing procedures are designed to ensure that the AI system performs consistently and in compliance with the requirements set out in the documentation. These procedures are suitable to achieve the system's purpose and do not go beyond what is necessary to achieve that purpose (paragraph 0). The system identifies and analyzes known and foreseeable risks associated with its operation. This is achieved by a comprehensive examination of the AI system's design, the features it uses, and the decision-making processes it follows (paragraph 1). Upon identification and evaluation of risks, appropriate risk management measures are adopted. The system design is continuously reviewed and updated to eliminate or reduce risks (paragraph 3).",Y,N
"Are foreseeable unintended outcomes and risks, including to health and safety and fundamental rights, described?",Yes,Y,Yes,Y,Y,Y,"Yes, foreseeable unintended outcomes and risks, including to health and safety and fundamental rights, are described. The potential unintended outcomes include over-reliance on the system's decisions without human oversight, which could lead to errors going unnoticed (paragraph 2). The system also identifies and analyzes known and foreseeable risks associated with its operation, such as data quality, bias in the training data, overfitting, and potential misinterpretation of model explanations (paragraph 4). Risks such as discriminatory decisions, invasion of privacy, and miscommunication of credit approval decisions are evaluated and quantified (paragraph 3, 5). There is also a risk of false positives and false negatives (paragraph 11). The main source of risk in the AI system comes from data bias, which can lead to discriminatory outcomes (paragraph 12, 16). Despite rigorous monitoring and evaluation procedures, there might be instances where the AI system could encounter unforeseen issues or errors (paragraph 17). The system's performance is reliant on the quality and completeness of the data it processes, and incomplete or biased data could potentially lead to less accurate predictions or unintentional discriminatory outcomes (paragraph 19).",Y,N
